Provider  	Language	AlertFile                     	  BLEU
azure     	so   	extremecold_warning_1.txt     	  2.65
azure     	so   	extremecold_watch_1.txt       	  2.18
azure     	so   	fireweather_watch_1.txt       	  2.44
azure     	so   	fireweather_watch_2.txt       	  4.87
azure     	so   	flashflood_warning_1.txt      	 13.23
azure     	so   	flashflood_warning_2_long.txt 	  3.03
azure     	so   	flashflood_watch_1.txt        	  3.63
azure     	so   	flood_advisory_1.txt          	 10.54
azure     	so   	flood_advisory_2.txt          	  2.91
azure     	so   	frost_advisory_1.txt          	  2.67
azure     	so   	helene_advisory_num15.txt     	  0.93
azure     	so   	helene_discussion_num15.txt   	  1.39
azure     	so   	helene_update_1.txt           	  4.45
azure     	so   	highwind_warning_1.txt        	  4.66
azure     	so   	highwind_watch_1.txt          	 11.33
azure     	so   	redflag_warning_1.txt         	  0.93
azure     	so   	redflag_warning_2.txt         	  7.84
azure     	so   	redflag_warning_3.txt         	  3.79
azure     	so   	snowsquall_warning_1.txt      	  4.78
azure     	so   	tornado_warning_1.txt         	  6.04
azure     	so   	tornado_warning_2.txt         	  3.15
azure     	so   	tornado_warning_3.txt         	 16.24
azure     	so   	tornado_warning_4.txt         	  1.57
azure     	so   	tornado_warning_5.txt         	  3.50
azure     	so   	tornado_watch_1.txt           	  2.94
azure     	so   	tornado_watch_2.txt           	  2.51
azure     	so   	tornado_watch_3.txt           	  0.96
azure     	so   	tornado_watch_4.txt           	  1.63
azure     	so   	tstorm_warning_1.txt          	  5.93
azure     	so   	tstorm_warning_2.txt          	  2.10
azure     	so   	tstorm_warning_3.txt          	  5.98
azure     	so   	tstorm_warning_4.txt          	  1.95
azure     	so   	tstorm_warning_5.txt          	  6.59
azure     	so   	tstorm_watch_1.txt            	  0.03
azure     	so   	tstorm_watch_2.txt            	  0.66
azure     	so   	tsunami_advisory_1.txt        	  1.49
azure     	so   	tsunami_advisory_2.txt        	  2.78
azure     	so   	tsunami_info_statement_1.txt  	  0.93
azure     	so   	tsunami_info_statement_2.txt  	  2.48
azure     	so   	tsunami_test_template.txt     	  0.71
azure     	so   	tsunami_threat_message.txt    	  0.38
azure     	so   	tsunami_warning_1.txt         	  1.09
azure     	so   	tsunami_warning_cancel.txt    	  0.91
azure     	so   	wind_advisory_1.txt           	  4.92
azure     	so   	winterstorm_advisory_1.txt    	  5.38
azure     	so   	winterstorm_warning_1_long.txt	  3.67
azure     	so   	winterstorm_warning_2_short.txt	  8.43
azure     	so   	winterstorm_warning_3.txt     	  5.47
azure     	so   	winterstorm_watch_1.txt       	  0.08
azure     	so   	winterstorm_watch_2.txt       	  1.09
azure     	so   	winterstorm_watch_3.txt       	  2.70
googlecloud	es   	avalanche_warning_1.txt       	  0.57
googlecloud	es   	avalanche_watch_1.txt         	  2.48
googlecloud	es   	blowingdust_advisory_1.txt    	  1.45
googlecloud	es   	coldweather_advisory_1.txt    	  2.86
googlecloud	es   	densefog_advisory_1.txt       	  0.94
googlecloud	es   	extremecold_warning_1.txt     	  2.64
googlecloud	es   	extremecold_watch_1.txt       	  1.73
googlecloud	es   	fireweather_watch_1.txt       	  2.28
googlecloud	es   	fireweather_watch_2.txt       	  6.96
googlecloud	es   	flashflood_warning_1.txt      	 18.19
googlecloud	es   	flashflood_warning_2_long.txt 	  3.50
googlecloud	es   	flashflood_watch_1.txt        	  5.17
googlecloud	es   	flood_advisory_1.txt          	 12.31
googlecloud	es   	flood_advisory_2.txt          	  2.76
googlecloud	es   	frost_advisory_1.txt          	  4.40
googlecloud	es   	helene_advisory_num15.txt     	  0.92
googlecloud	es   	helene_discussion_num15.txt   	  1.45
googlecloud	es   	helene_update_1.txt           	  4.39
googlecloud	es   	highwind_warning_1.txt        	  6.16
googlecloud	es   	highwind_watch_1.txt          	 14.93
googlecloud	es   	redflag_warning_1.txt         	  1.71
googlecloud	es   	redflag_warning_2.txt         	 11.70
googlecloud	es   	redflag_warning_3.txt         	  5.87
googlecloud	es   	snowsquall_warning_1.txt      	  6.65
googlecloud	es   	tornado_warning_1.txt         	  8.13
googlecloud	es   	tornado_warning_2.txt         	  4.57
googlecloud	es   	tornado_warning_3.txt         	 19.62
googlecloud	es   	tornado_warning_4.txt         	  2.27
googlecloud	es   	tornado_warning_5.txt         	  5.44
googlecloud	es   	tornado_watch_1.txt           	  2.79
googlecloud	es   	tornado_watch_2.txt           	  2.63
googlecloud	es   	tornado_watch_3.txt           	  1.11
googlecloud	es   	tornado_watch_4.txt           	  1.69
googlecloud	es   	tstorm_warning_1.txt          	  8.65
googlecloud	es   	tstorm_warning_2.txt          	  3.12
googlecloud	es   	tstorm_warning_3.txt          	  8.38
googlecloud	es   	tstorm_warning_4.txt          	  2.29
googlecloud	es   	tstorm_warning_5.txt          	  9.53
googlecloud	es   	tstorm_watch_1.txt            	  0.05
googlecloud	es   	tstorm_watch_2.txt            	  1.28
googlecloud	es   	tsunami_advisory_1.txt        	  1.54
googlecloud	es   	tsunami_advisory_2.txt        	  3.17
